SeriesInstanceUID,collection_id,Modality,BodyPartExamined,Manufacturer,ManufacturerModelName,instanceCount,series_size_MB,Rows,Columns,SliceThickness,PixelSpacing_row_mm,PixelSpacing_col_mm,voxels,idc_version,entity
1.3.6.1.4.1.14519.5.2.1.1078.3273.295450725282585777200166644153,cptac_pda,CT,,GE MEDICAL SYSTEMS,Discovery CT750 HD,492,260.354186,512,512,0.625,0.664062,0.664062,128974848,v24,2
1.3.6.1.4.1.14519.5.2.1.293699020387085267782351874754622727559,cmb_aml,CT,,GE MEDICAL SYSTEMS,Optima CT580,25,13.216364,512,512,5.0,0.521484,0.521484,6553600,v24,3
1.3.6.1.4.1.14519.5.2.1.2857.5885.906267766834822203914369832116,cptac_luad,CT,CHEST,Philips,Brilliance Big Bore,26,13.72748,512,512,2.0,0.884765625,0.884765625,6815744,v24,3
1.3.6.1.4.1.14519.5.2.1.1.33520193330513133528966521353461445142,cmb_crc,CT,CHESTABDPELVIS,TOSHIBA,Aquilion Prime SP,59,31.134094,512,512,5.0,0.896,0.896,15466496,v24,3
1.3.6.1.4.1.14519.5.2.1.108786950073884345024850084984111851234,cmb_pca,CT,PELVIS,"Hitachi, Ltd.",SCENARIA View,59,31.093124,512,512,5.0,0.843,0.843,15466496,v24,3
1.3.6.1.4.1.14519.5.2.1.75450567281312099628746145208720022737,cmb_crc,CT,CHESTABDPELVIS,"Hitachi, Ltd.",SCENARIA View,61,32.142736,512,512,5.0,0.902,0.902,15990784,v24,3
1.3.6.1.4.1.14519.5.2.1.3320.3273.865562650966317615534062854390,cptac_ccrcc,CT,ABDOMEN,SIEMENS,Sensation 40,61,32.200922,512,512,5.0,0.861328125,0.861328125,15990784,v24,3
1.3.6.1.4.1.14519.5.2.1.3320.3273.288692434131184663531582225026,cptac_pda,CT,ABDOMEN,SIEMENS,Sensation 64,63,33.267008,512,512,5.0,0.798828125,0.798828125,16515072,v24,3
1.3.6.1.4.1.14519.5.2.1.4320.5885.273472054323710345523550410419,cptac_luad,CT,CHEST,GE MEDICAL SYSTEMS,Optima CT520 Series,63,33.339166,512,512,5.0,0.761719,0.761719,16515072,v24,3
1.3.6.1.4.1.14519.5.2.1.23955107446949877868355274913049478403,cmb_crc,CT,CHESTABDPELVIS,TOSHIBA,Aquilion Prime SP,78,41.144324,512,512,5.0,0.839,0.839,20447232,v24,3
1.3.6.1.4.1.14519.5.2.1.220655828044519999271394692927939229335,cmb_lca,CT,CHEST,SIEMENS,SOMATOM Definition Flash,80,42.49985,515,512,3.0,0.69902912621359,0.69921875,21094400,v24,3
1.3.6.1.4.1.14519.5.2.1.194558602208884452408236958967501085888,cmb_lca,CT,CHEST,SIEMENS,SOMATOM Definition AS,82,46.306882,548,512,3.0,0.71532846715328,0.71484375,23007232,v24,3
1.3.6.1.4.1.14519.5.2.1.2932.1975.186320384933119152505528037802,cptac_cm,CT,CHESTABDPELVIS,TOSHIBA,Aquilion,89,46.92613,512,512,5.0,0.953,0.953,23330816,v24,3
1.3.6.1.4.1.14519.5.2.1.3320.3273.296712862873303578054338546518,cptac_ucec,CT,PELVIS,,SOMATOM Definition AS+,93,49.088374,512,512,1.5,0.5859375,0.5859375,24379392,v24,3
1.3.6.1.4.1.14519.5.2.1.4801.5885.219291053252147396105775551186,cptac_luad,CT,,GE MEDICAL SYSTEMS,LightSpeed VCT,120,63.464858,512,512,2.5,0.634766,0.634766,31457280,v24,3
1.3.6.1.4.1.14519.5.2.1.94846366564229330029901478421196038986,cmb_lca,CT,CHEST,GE MEDICAL SYSTEMS,Revolution EVO,125,66.103158,512,512,5.0,0.855469,0.855469,32768000,v24,3
1.3.6.1.4.1.14519.5.2.1.91953589875311371259446931949153196911,cmb_lca,CT,ABDOMEN,SIEMENS,SOMATOM Definition AS,191,100.885968,512,512,2.0,0.736328125,0.736328125,50069504,v24,3
1.3.6.1.4.1.14519.5.2.1.1427.5885.108887003869590585195981735716,cptac_luad,CT,CHEST,SIEMENS,SOMATOM Definition AS,172,110.043936,512,621,2.0,0.681640625,0.68115942028986,54687744,v24,3
1.3.6.1.4.1.14519.5.2.1.6450.2626.267845940569468452412612829107,cptac_ccrcc,CT,ABDOMEN,TOSHIBA,Aquilion ONE,253,183.156402,600,600,10.0,0.988,0.988,91080000,v24,3
1.3.6.1.4.1.14519.5.2.1.3320.3273.369815723860519630686719054019,cptac_pda,CT,ABDOMEN,,Ingenuity CT,448,236.392322,512,512,1.5,0.72265625,0.72265625,117440512,v24,3
1.3.6.1.4.1.14519.5.2.1.2932.1975.319738355605489346002421981300,cptac_luad,CT,CHEST,SIEMENS,SOMATOM Definition AS+,540,285.11992,512,512,1.0,0.736328125,0.736328125,141557760,v24,3
1.3.6.1.4.1.14519.5.2.1.2932.1975.137197854902298966415773333445,cptac_sar,CT,,Philips,Mx8000 IDT 16,631,332.418174,512,512,2.0,0.87890625,0.87890625,165412864,v24,3
